id,traditional,simplified,pinyin,meaning,LEVEL
1,愛,爱,ài,"love, like, be fond of, be keen on, cherish, be apt to",1
2,愛好,爱好,àihào,"love, like, be fond of, be keen on",1
3,爸爸,爸爸,bàba,"old man, father, papa, pappa, daddy, pa, begetter, pop, dada, dad, male parent, pater, pappy, pops, poppa",1
4,白,白,bái,"white, clear, pure, plain, wrongly written/mispronounced,",1
5,八,八,bā,det.: eight,1
6,白天,白天,báitian,"daytime, during the day, day, CL:個|个[ge4]",1
7,班,班,bān,m.[event],1
8,百,百,bǎi,"cent, centum, century, hundred, det.: hundred",1
9,吧,吧,ba,particle: used to show mild imperative or uncertainty,1
10,半,半,bàn,det.: half,1
11,半年,半年,bànnián,half a year,1
12,半天,半天,bàntiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]",1
13,幫,帮,bāng,help,1
14,幫忙,帮忙,bāng máng,"assist, aid, smile, lend a hand, do a favour, help, oblige, give a hand, do favor, do a good turn",1
15,包,包,bāo,"wrap, surround, encircle, envelop, include, contain, undertake the whole thing, assure, guarantee",1
16,包子,包子,bāozi,"steamed stuffed bun, CL:個|个[ge4]",1
17,杯,杯,bēi,m.[container],1
18,杯子,杯子,bēizi,"tumbler, drinking glass, cup, glass",1
19,北邊,北边,běibian,"north, north side, northern part, to the north of",1
20,本,本,běn,det.: this,1
21,北京,北京,Běijīng,"capital of Red China, Beijing, Peking, Beijing (Peking), Peiping",1
22,北,北,běi,"atomic number 97, northward, north, berkelium, Bk, northern",1
23,本子,本子,běnzi,"book, notebook, edition, CL:本[ben3]",1
24,別,别,bié,don't,1
25,別的,别的,biéde,"else, other",1
26,別人,别人,biéren,"others, other people, another person",1
27,病,病,bìng,disease,1
28,病人,病人,bìngrén,"shut-in, patient, subject, sufferer, case, valetudinarian, invalid",1
29,比,比,bǐ,compared with,1
30,不大,不大,bùdà,"not very/too, not often",1
31,不客氣,不客气,bù kèqì,"you're welcome, don't mention it, impolite, rude, blunt",1
32,不用,不用,bùyòng,need not,1
33,菜,菜,cài,"vegetable, greens, dish, course, food",1
34,不對,不对,bù duì,"incorrect, wrong, amiss, abnormal, queer",1
35,差,差,chà,"be short, lack",1
36,不,不,bù,"non, do not, no, nowise, not, nope, nae, no more, nix",1
37,茶,茶,chá,tea,1
38,常常,常常,chángcháng,"oftentimes, ofttimes, commonly, ordinarily, oft, often, a great deal, normally, frequently, unremarkably, much, usually",1
39,常,常,cháng,"often, usually, frequently",1
40,車,车,chē,vehicle,1
41,唱歌,唱歌,chàng gē,sing,1
42,車上,车上,chē shàng,Car,1
43,車票,车票,chēpiào,ticket (for train/bus),1
44,唱,唱,chàng,"cry, chant, chirm, tune, vocalize, call, sing",1
45,吃,吃,chī,"feed, have, be subject to, absorb, chow, live on, eat, have one's meals, be a strain, exhaust, fare, take in, live off, annihilate, wipe out, partake, suffer, ingest, consume, graze, lunch, manducate, incur, take, get, use up, make, taste, soak up",1
46,車站,车站,chēzhàn,station,1
47,吃飯,吃饭,chī fàn,"feed, dine, make a living, keep alive, have a meal, eat",1
48,出來,出来,chū lai,"come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge",1
49,齣,出,chū,"produce, turn out, arise, happen",1
50,出去,出去,chū qu,"go_out, go/get out, get_out, go out, get out, go, exit",1
51,床,床,chuáng,bed,1
